Word,Count
said,1473
police,637
gun,501
shooting,456
officers,363
attack,352
one,305
two,292
officer,288
school,283
killed,265
people,260
russia,257
year,256
also,234
would,228
shot,228
man,220
russian,213
sterling,206
says,201
black,200
state,199
city,184
old,179
clark,174
new,169
attorney,167
last,165
told,164
high,164
tuesday,155
say,155
family,154
could,147
britain,147
court,144
salman,143
government,140
department,140
wednesday,138
office,136
march,135
friday,135
investigation,132
statement,128
later,128
case,128
years,126
news,126
